Quand est-ce que Noël est célébré ?,Noël,Décembre 25,Janvier 1,Juillet 4,1,hard
Qui a peint la Joconde ?,Léonard de Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,0,hard
Où a eu lieu la bataille de Waterloo ?,Belgique,France,Allemagne,Italie,0,hard
Quel explorateur a découvert l'Amérique en 1492 ?,Christophe Colomb,Marco Polo,Vasco de Gama,Magellan,0,hard
Quelle est la capitale de la France ?,Paris,Londres,Berlin,Rome,0,hard
Qui était le roi de la jungle dans le Livre de la Jungle ?,Mowgli,Baloo,Bagheera,Shere Khan,3,hard
Quel animal est le symbole de la sagesse ?,Chouette,Lion,Dauphin,Girafe,0,hard
Quel est le plus grand océan du monde ?,Pacifique,Atlantique,Indien,Arctique,0,hard
Où vivent les pingouins ?,Pôle Nord,Pôle Sud,Amazonie,Sahara,1,hard
Qui a écrit les contes de fées comme Cendrillon et La Belle au bois dormant ?,Les frères Grimm,Hans Christian Andersen,Charles Perrault,J.K. Rowling,2,hard
Quel est le nom du bateau des pirates de Peter Pan ?,Jolly Roger,Black Pearl,Queen Anne's Revenge,The Flying Dutchman,0,hard
Qui a construit la grande muraille de Chine ?,Empereur Qin Shi Huang,Genghis Khan,Mao Zedong,Confucius,0,hard
Quel est le plus grand continent du monde ?,Asie,Afrique,Amérique du Nord,Europe,0,hard
Quel est le nom du célèbre pharaon égyptien qui a construit les pyramides ?,Khéops,Ramsès II,Toutankhamon,Cléopâtre,0,hard
Quel est le nom du premier président des États-Unis ?,George Washington,Abraham Lincoln,Thomas Jefferson,John F. Kennedy,0,hard
Qui a écrit Roméo et Juliette ?,William Shakespeare,Jane Austen,Charles Dickens,Mark Twain,0,hard
Où se trouve la Tour Eiffel ?,Paris,Londres,Rome,Berlin,0,hard
Quel animal est associé à la sagesse dans de nombreuses cultures ?,Hibou,Renard,Tortue,Éléphant,0,hard
Quel est le nom de la célèbre école de sorcellerie dans Harry Potter ?,Poudlard,Beauxbâtons,Durmstrang,Ilvermorny,0,hard
Qui était le roi d'Angleterre pendant la guerre d'indépendance américaine ?,George III,Henry VIII,Richard the Lionheart,Elizabeth I,0,hard
Quel est le nom de la première femme à voyager dans l'espace ?,Valentina Tereshkova,Sally Ride,Yuri Gagarin,Neil Armstrong,0,hard
Quel célèbre explorateur a ouvert la route maritime vers l'Inde ?,Vasco de Gama,Marco Polo,Magellan,Columbus,0,hard
Quel est le nom du premier homme sur la lune ?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,John Glenn,0,hard
Quelle est la capitale de l'Espagne ?,Madrid,Barcelone,Lisbonne,Rome,0,hard
Qui était le célèbre pirate qui a dit : "La vie est une aventure audacieuse ou rien du tout" ?,Helen Keller,Anne Bonny,Blackbeard,Jack Sparrow,2,hard
Quel animal peut voler sans avoir des ailes ?,Poisson volant,Chauve-souris,Papillon,Pingouin,3,hard
Quel est le nom de la première locomotive à vapeur ?,Rocket,Bullet,Thunder,Lightning,0,hard
Qui a écrit les fables comme "Le Corbeau et le Renard" ?,Jean de La Fontaine,Aesop,Grimm Brothers,Hans Christian Andersen,0,hard
Quel est le nom de la célèbre infirmière de la Guerre de Crimée ?,Florence Nightingale,Clara Barton,Mary Seacole,Edith Cavell,0,hard
Quel est le nom du bateau du célèbre explorateur James Cook ?,Endeavour,Discovery,Beagle,Mayflower,0,hard
Quel est le nom du fleuve qui traverse l'Égypte ?,Nil,Amazone,Yangtsé,Mississippi,0,hard
Quel célèbre scientifique a formulé la théorie de la relativité ?,Albert Einstein,Isaac Newton,Galileo Galilei,Stephen Hawking,0,hard
Quel est le nom du célèbre roi lion dans le film "Le Roi Lion" ?,Simba,Mufasa,Scar,Timon,0,hard
Où a eu lieu la première colonie anglaise en Amérique ?,Jamestown,Plymouth,Roanoke,Boston,0,hard
Qui était le célèbre guerrier spartiate de la bataille des Thermopyles ?,Leonidas,Alexander the Great,Achilles,Pericles,0,hard
Quel est le nom de la célèbre femme qui a lutté pour les droits des femmes aux États-Unis ?,Susan B. Anthony,Rosa Parks,Amelia Earhart,Harriet Tubman,0,hard
Quel est le nom du célèbre samouraï du Japon féodal ?,Miyamoto Musashi,Oda Nobunaga,Tokugawa Ieyasu,Takeda Shingen,0,hard
Qui a écrit le livre "Charlie et la chocolaterie" ?,Roald Dahl,J.K. Rowling,Dr. Seuss,Enid Blyton,0,hard
Quel est le nom du premier empereur romain ?,Auguste,Jules César,Néron,Marc Aurèle,0,hard
Quel est le nom du célèbre explorateur portugais qui a ouvert la route maritime vers l'Inde ?,Vasco de Gama,Ferdinand Magellan,Christopher Columbus,Marco Polo,0,hard
